1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
oeufs,beurre,fromage blanc,lait,fromage de chèvre,jus ou sirop,viande de porc,fromage de brebis fermier,creme fraiche,poireaux,oignon,salade,farine,vin ou cidre,confiture,miel,ail,pomme de terre,chou,breuil
fromage blanc,beurre,jus ou sirop,fromage de chèvre,salade,creme fraiche,oeufs,oignon,fromage de brebis fermier,agrumes,mamia,poireaux,viande de porc,courge,farine,breuil,miel,viande de chèvre ou chevreau,pomme de terre,piment
fromage blanc,fromage de chèvre,oeufs,beurre,viande de chèvre ou chevreau,poireaux,viande de porc,creme fraiche,miel,fromage de brebis fermier,confiture,mamia,carotte,jus ou sirop,vin ou cidre,pomme de terre,courge,piment,salade,farine
beurre,lait,salade,agrumes,oeufs,chou,viande de chèvre ou chevreau,fromage de brebis fermier,jus ou sirop,fromage de chèvre,fromage blanc,pomme de terre,poulet,creme fraiche,poireaux,miel,confiture,oignon,mamia,kiwi
fromage de chèvre,lait,fromage blanc,creme fraiche,salade,jus ou sirop,oignon,viande de chèvre ou chevreau,fromage de brebis fermier,pomme de terre,poireaux,oeufs,courge,pommes,confiture,viande de porc,piment,chou,tomate,agrumes
pomme de terre,yaourt,pommes,poireaux,beurre,courge,epinard,jus ou sirop,lait,fromage blanc,fromage de chèvre,creme fraiche,fromage de brebis fermier,breuil,oignon,poulet,celeri,miel,agrumes,viande de chèvre ou chevreau
fromage de chèvre,lait,fromage blanc,salade,creme fraiche,jus ou sirop,agrumes,pomme de terre,viande de chèvre ou chevreau,oeufs,fromage de brebis fermier,poireaux,courge,oignon,chou,breuil,pommes,tomate,confiture,blette
beurre,salade,lait,poireaux,viande de chèvre ou chevreau,pommes,carotte,fromage blanc,chou,pomme de terre,creme fraiche,kiwi,epinard,jus ou sirop,oeufs,oignon,courge,persil,poulet,fromage de chèvre
salade,beurre,lait,fromage blanc,courge,viande de chèvre ou chevreau,pomme de terre,jus ou sirop,creme fraiche,viande de porc,oignon,piment,tomate,oeufs,confiture,poireaux,miel,mamia,pommes,breuil
salade,oeufs,fromage de chèvre,lait,fromage de brebis fermier,jus ou sirop,oignon,fromage blanc,poireaux,agrumes,ail,viande de porc,confiture,pommes,miel,vin ou cidre,poulet,creme fraiche,mamia,breuil
yaourt,creme fraiche,fromage de chèvre,jus ou sirop,salade,viande de chèvre ou chevreau,oeufs,oignon,fromage de brebis fermier,poulet,courge,fromage blanc,agrumes,pomme de terre,mamia,miel,breuil,pommes,confiture,farine
jus ou sirop,fromage de brebis fermier,fromage blanc,salade,oignon,creme fraiche,breuil,oeufs,miel,agrumes,confiture,pomme de terre,viande de porc,poulet,pommes,courge,huile,chou,mamia,ail
carotte,salade,chou,courge,agrumes,pommes,yaourt,fromage blanc,oeufs,beurre,oignon,blette,poulet,celeri,jus ou sirop,fromage de chèvre,kiwi,lait,creme fraiche,epinard
fromage de chèvre,piment,pomme de terre,salade,oignon,concombre,aubergine,yaourt,jus ou sirop,betterave,beurre,fromage blanc,pommes,poireaux,viande de chèvre ou chevreau,lait,fromage de brebis fermier,poivron,poulet,persil
pommes,poireaux,carotte,agrumes,pomme de terre,salade,fromage blanc,chou,kiwi,oignon,breuil,persil,lait,navet,epinard,blette,viande de chèvre ou chevreau,creme fraiche,fromage de brebis fermier,jus ou sirop
